id,nama_node1,nama_node2,kode_node1,kode_node2,kode_jalan,tanggal_mulai,tanggal_selesai,nama_jalan,kelurahan,kecamatan,panjang_jalan,lebar_jalan,luasan_pengerjaan,jenis_pekerjaan,deskripsi_pembangunan
"1,"""","""","""","""","""",2022-01-18T00:00:00,2022-01-18T00:00:00,JL. A YANI,SIWALANKERTO,WONOCOLO,8.5,2,11,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"2,"""","""","""","""","""",2022-01-06T00:00:00,2022-01-06T00:00:00,JL. A YANI FRONTAGE,WONOKROMO,WONOKROMO,13.5,3,11.5,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"3,"""","""","""","""","""",2022-01-15T00:00:00,2022-01-15T00:00:00,JL. A. R. HAKIM,KEPUTIH,SUKOLILO,46,3,43.5,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"4,"""","""","""","""","""",2022-01-10T00:00:00,2022-01-10T00:00:00,JL. ALAS MALANG,BRINGIN,SAMBIKEREP,13,1.5,16.5,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"5,"""","""","""","""","""",2022-01-12T00:00:00,2022-01-12T00:00:00,JL. AMBENGAN,KETABANG,GENTENG,25.5,3,42,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"6,"""","""","""","""","""",2022-01-29T00:00:00,2022-01-29T00:00:00,JL. ASEM III,ASEMROWO,ASEMROWO,24,4,50,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"7,"""","""","""","""","""",2022-01-11T00:00:00,2022-01-11T00:00:00,JL. BABAT JERAWAT,BABAT JERAWAT,PAKAL,36,3,67.5,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"8,"""","""","""","""","""",2022-01-14T00:00:00,2022-01-14T00:00:00,JL. BABATAN UNESA,BABATAN,WIYUNG,11,2,15.5,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"9,"""","""","""","""","""",2022-01-25T00:00:00,2022-01-25T00:00:00,JL. BAGONG TAMBANGAN ARAH JEMBATAN,NGAGEL,WONOKROMO,1,1.5,0.5,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"10,"""","""","""","""","""",2022-01-26T00:00:00,2022-01-26T00:00:00,JL. BALAS KLUMPRIK,BALAS KLUMPRIK,WIYUNG,6,2,3,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"11,"""","""","""","""","""",2022-01-08T00:00:00,2022-01-08T00:00:00,JL. BALONGSARI,BALONGSARI,TANDES,14,4,49,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"12,"""","""","""","""","""",2022-01-31T00:00:00,2022-01-31T00:00:00,JL. BALONGSARI PRAJA,BALONGSARI,TANDES,21,1.5,22,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"13,"""","""","""","""","""",2022-01-13T00:00:00,2022-01-13T00:00:00,JL. BALONGSARI TAMA,BALONGSARI,TANDES,68,2,88,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"14,"""","""","""","""","""",2022-01-27T00:00:00,2022-01-27T00:00:00,JL. BALONGSARI TAMA SELATAN,BALONGSARI,TANDES,4,3,6,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"15,"""","""","""","""","""",2022-01-07T00:00:00,2022-01-07T00:00:00,JL. BANDA,GUBENG,GUBENG,2.5,3,2.5,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"16,"""","""","""","""","""",2022-01-26T00:00:00,2022-01-26T00:00:00,JL. BANGKINGAN,BANGKINGAN,LAKARSANTRI,19,2,9.5,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"17,"""","""","""","""","""",2022-01-29T00:00:00,2022-01-29T00:00:00,JL. BANGKINGAN ASPOL,BANGKINGAN,LAKARSANTRI,20,3,30,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"18,"""","""","""","""","""",2022-01-15T00:00:00,2022-01-15T00:00:00,JL. BANYU URIP,BANYU URIP,SAWAHAN,14,3,9.5,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"19,"""","""","""","""","""",2022-01-15T00:00:00,2022-01-15T00:00:00,JL. BENDUL MERISI,BENDUL MERISI,WONOCOLO,15,1,15,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"20,"""","""","""","""","""",2022-01-15T00:00:00,2022-01-15T00:00:00,JL. BENOWO,BENOWO,PAKAL,22,2,22,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"21,"""","""","""","""","""",2022-01-05T00:00:00,2022-01-05T00:00:00,JL. BENTENG,UJUNG,SEMAMPIR,3,3,5,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"22,"""","""","""","""","""",2022-01-10T00:00:00,2022-01-10T00:00:00,JL. BIBIS KARAH,KARAH,JAMBANGAN,10,1,8,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"23,"""","""","""","""","""",2022-01-27T00:00:00,2022-01-27T00:00:00,JL. BIBIS TAMA,MANUKAN WETAN,TANDES,9,2,8,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"24,"""","""","""","""","""",2022-01-07T00:00:00,2022-01-07T00:00:00,JL. BONGKARAN,BONGKARAN,PABEAN CANTIKAN,30,3,68,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"25,"""","""","""","""","""",2022-01-25T00:00:00,2022-01-25T00:00:00,JL. BRATANG BINANGUN,BRATAJAYA,GUBENG,4,1.5,3.5,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"26,"""","""","""","""","""",2022-01-05T00:00:00,2022-01-05T00:00:00,JL. BRONGGALAN BARU II,PACAR KEMBANG,TAMBAKSARI,6,2,8,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"27,"""","""","""","""","""",2022-01-15T00:00:00,2022-01-15T00:00:00,JL. BUBUTAN,BUBUTAN,BUBUTAN,6,2,6,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"28,"""","""","""","""","""",2022-01-18T00:00:00,2022-01-18T00:00:00,JL. BULAK BANTENG WETAN,SIDOTOPO WETAN,KENJERAN,109,3,163,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"29,"""","""","""","""","""",2022-01-11T00:00:00,2022-01-11T00:00:00,JL. BULAKSARI NO. 17,WONOKUSUMO,SEMAMPIR,25,3,44,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"30,"""","""","""","""","""",2022-01-13T00:00:00,2022-01-17T00:00:00,JL. BUNGURAN,Bongkaran,Pabean Cantikan,17.5,1.5,25,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"31,"""","""","""","""","""",2022-01-28T00:00:00,2022-01-28T00:00:00,JL. DARMO INDAH SELATAN,KARANG POH,TANDES,6,2,6,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"32,"""","""","""","""","""",2022-01-15T00:00:00,2022-01-15T00:00:00,JL. DARMO INDAH TIMUR 6,KARANG POH,TANDES,24,1.5,14,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"33,"""","""","""","""","""",2022-01-03T00:00:00,2022-01-03T00:00:00,JL. DARMO PERMAI III,PRADAH KALI KENDAL,DUKUH PAKIS,117,6,580,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"34,"""","""","""","""","""",2022-01-26T00:00:00,2022-01-26T00:00:00,JL. DARMO PERMAI SELATAN,PRADAH KALI KENDAL,DUKUH PAKIS,14,5,36,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"35,"""","""","""","""","""",2022-01-05T00:00:00,2022-01-05T00:00:00,JL. DARMO SATELIT,TANJUNGSARI,SUKOMANUNGGAL,2,4,1,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"36,"""","""","""","""","""",2022-01-13T00:00:00,2022-01-13T00:00:00,JL. DHARMAHUSADA III,PACAR KEMBANG,TAMBAKSARI,25,3,37.5,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"37,"""","""","""","""","""",2022-01-17T00:00:00,2022-01-17T00:00:00,JL. DHARMAHUSADA INDAH I,MULYOREJO,MULYOREJO,36,4,53,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"38,"""","""","""","""","""",2022-01-10T00:00:00,2022-01-10T00:00:00,JL. DHARMAHUSADA INDAH III,MOJO,MULYOREJO,48,4,84.5,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"39,"""","""","""","""","""",2022-01-17T00:00:00,2022-01-17T00:00:00,JL. DHARMAHUSADA INDAH UTARA VIII,MULYOREJO,MULYOREJO,20,3,30,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"40,"""","""","""","""","""",2022-01-07T00:00:00,2022-01-07T00:00:00,JL. DHARMAHUSADA INDAH UTARA XIV,MULYOREJO,MULYOREJO,10,3,18.5,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"41,"""","""","""","""","""",2022-01-31T00:00:00,2022-01-31T00:00:00,JL. DHARMAWANGSA,KERTAJAYA,GUBENG,5,2,7.5,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"42,"""","""","""","""","""",2022-01-26T00:00:00,2022-01-26T00:00:00,JL. DUKUH,NYAMPLUNGAN,PABEAN CANTIKAN,12,3,12,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"43,"""","""","""","""","""",2022-01-29T00:00:00,2022-01-29T00:00:00,JL. DUKUH BULAK BANTENG TIMUR,BULAK BANTENG,KENJERAN,1,2,1,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"44,"""","""","""","""","""",2022-01-19T00:00:00,2022-01-19T00:00:00,JL. DUKUH JARSONGO,JAJAR TUNGGAL,WIYUNG,11,3,27.5,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"45,"""","""","""","""","""",2022-01-12T00:00:00,2022-01-12T00:00:00,JL. DUKUH KUKUN,BABAT JERAWAT,PAKAL,14.5,3,18,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"46,"""","""","""","""","""",2022-01-08T00:00:00,2022-01-08T00:00:00,JL. DUKUH KUPANG,DUKUH KUPANG,DUKUH PAKIS,20,0.5,5,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"47,"""","""","""","""","""",2022-01-17T00:00:00,2022-01-17T00:00:00,JL. DUKUH KUPANG BARAT I,DUKUH KUPANG,DUKUH PAKIS,7,2,9,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"48,"""","""","""","""","""",2022-01-28T00:00:00,2022-01-28T00:00:00,JL. DUKUH KUPANG BARAT XVI,DUKUH KUPANG,DUKUH PAKIS,1,2,0.5,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"49,"""","""","""","""","""",2022-01-17T00:00:00,2022-01-17T00:00:00,JL. DUKUH KUPANG BARAT XXV,DUKUH KUPANG,DUKUH PAKIS,3,1,3,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"50,"""","""","""","""","""",2022-01-07T00:00:00,2022-01-07T00:00:00,JL. DUKUH KUPANG XX,DUKUH KUPANG,DUKUH PAKIS,18,3,32,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"51,"""","""","""","""","""",2022-01-07T00:00:00,2022-01-07T00:00:00,JL. DUKUH KUPANG XXV,DUKUH KUPANG,DUKUH PAKIS,41,3,75.5,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"52,"""","""","""","""","""",2022-01-13T00:00:00,2022-01-13T00:00:00,JL. DUKUH LANGKIR,BABAT JERAWAT,PAKAKL,69,3,75.5,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"53,"""","""","""","""","""",2022-01-17T00:00:00,2022-01-17T00:00:00,JL. DUKUH PAKIS V,DUKUH PAKIS,DUKUH PAKIS,6,3.5,9,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
"54,"""","""","""","""","""",2022-01-12T00:00:00,2022-01-12T00:00:00,JL. DUKUH SENDANG BULU,BABAT JERAWAT,PAKAL,16,3,20.5,""Pemeliharaan Rutin Jalan, Jembatan, dan Kelengkapannya"",KANCINGAN"
